category,index,name
bow_(decorative_ribbons),136,蝴蝶结
bow-tie,137,领结
bowl,138,碗
pipe_bowl,139,烟斗碗
bowler_hat,140,圆顶礼帽
bowling_ball,141,保龄球
box,142,盒子
boxing_glove,143,拳击手套
suspenders,144,背带
bracelet,145,手镯
brass_plaque,146,黄铜牌
brassiere,147,胸罩
bread-bin,148,面包箱
bread,149,面包
breechcloth,150,缠腰布
bridal_gown,151,婚纱
briefcase,152,公文包
broccoli,153,西兰花
broach,154,胸针
broom,155,扫帚
brownie,156,布朗尼
brussels_sprouts,157,抱子甘蓝
bubble_gum,158,泡泡糖
bucket,159,桶
horse_buggy,160,马车
bull,161,公牛
bulldog,162,斗牛犬
bulldozer,163,推土机
bullet_train,164,子弹头列车
bulletin_board,165,公告板
bulletproof_vest,166,防弹背心
bullhorn,167,扩音器
bun,168,小圆面包
bunk_bed,169,双层床
buoy,170,浮标
burrito,171,墨西哥卷饼
bus_(vehicle),172,公共汽车
business_card,173,名片
butter,174,黄油
butterfly,175,蝴蝶
button,176,按钮
cab_(taxi),177,出租车
cabana,178,小屋
cabin_car,179,车厢
cabinet,180,橱柜
locker,181,储物柜
cake,182,蛋糕
calculator,183,计算器
calendar,184,日历
calf,185,小牛
camcorder,186,摄像机
camel,187,骆驼
camera,188,相机
camera_lens,189,相机镜头
camper_(vehicle),190,露营车
can,191,罐头
can_opener,192,开罐器
candle,193,蜡烛
candle_holder,194,烛台
candy_bar,195,糖果棒
candy_cane,196,拐杖糖
walking_cane,197,手杖
canister,198,罐
canoe,199,独木舟
cantaloup,200,哈密瓜
canteen,201,食堂
cap_(headwear),202,帽子
bottle_cap,203,瓶盖
cape,204,披风
cappuccino,205,卡布奇诺
car_(automobile),206,汽车
railcar_(part_of_a_train),207,火车车厢
elevator_car,208,电梯轿厢
car_battery,209,汽车电池
identity_card,210,身份证
card,211,卡片
cardigan,212,开襟羊毛衫
cargo_ship,213,货船
carnation,214,康乃馨
horse_carriage,215,马车
carrot,216,胡萝卜
tote_bag,217,手提袋
cart,218,手推车
carton,219,纸箱
cash_register,220,收银机
casserole,221,砂锅
cassette,222,盒式磁带
cast,223,石膏
cat,224,猫
cauliflower,225,花椰菜
cayenne_(spice),226,辣椒粉
CD_player,227,CD播放器
celery,228,芹菜
cellular_telephone,229,手机
chain_mail,230,锁子甲
chair,231,椅子
chaise_longue,232,躺椅
chalice,233,圣杯
chandelier,234,吊灯
chap,235,小伙子
checkbook,236,支票簿
checkerboard,237,棋盘
cherry,238,樱桃
chessboard,239,国际象棋棋盘
chicken_(animal),240,鸡
chickpea,241,鹰嘴豆
chili_(vegetable),242,辣椒
chime,243,风铃
chinaware,244,瓷器
crisp_(potato_chip),245,薯片
poker_chip,246,扑克筹码
chocolate_bar,247,巧克力棒
chocolate_cake,248,巧克力蛋糕
chocolate_milk,249,巧克力牛奶
chocolate_mousse,250,巧克力慕斯
choker,251,颈圈
chopping_board,252,砧板
chopstick,253,筷子
Christmas_tree,254,圣诞树
slide,255,滑梯
cider,256,苹果酒
cigar_box,257,雪茄盒
cigarette,258,香烟
cigarette_case,259,烟盒
cistern,260,水箱
clarinet,261,单簧管
clasp,262,扣子
cleansing_agent,263,清洁剂
cleat_(for_securing_rope),264,系绳栓
clementine,265,克莱门氏小柑橘
clip,266,夹子
clipboard,267,写字夹板
clippers_(for_plants),268,修剪工具
cloak,269,斗篷
clock,270,钟
clock_tower,271,钟楼
clothes_hamper,272,脏衣篮
clothespin,273,衣夹
clutch_bag,274,手拿包
coaster,275,杯垫
coat,276,外套
coat_hanger,277,衣架
coatrack,278,衣帽架
cock,279,公鸡
cockroach,280,蟑螂
cocoa_(beverage),281,可可饮料
coconut,282,椰子
coffee_maker,283,咖啡机
coffee_table,284,咖啡桌
coffeepot,285,咖啡壶
coil,286,线圈
coin,287,硬币
colander,288,滤器
coleslaw,289,凉拌卷心菜
coloring_material,290,着色材料
combination_lock,291,组合锁
pacifier,292,安抚奶嘴
comic_book,293,漫画书
compass,294,指南针
computer_keyboard,295,电脑键盘
condiment,296,调味品
cone,297,圆锥
control,298,控制器
convertible_(automobile),299,敞篷车
sofa_bed,300,沙发床
cooker,301,炊具
cookie,302,饼干
cooking_utensil,303,烹饪用具
cooler_(for_food),304,冷藏箱
cork_(bottle_plug),305,瓶塞
corkboard,306,软木板
corkscrew,307,开瓶器
edible_corn,308,食用玉米
cornbread,309,玉米面包
cornet,310,短号
cornice,311,檐口
cornmeal,312,玉米粉
corset,313,束腰
costume,314,服装
cougar,315,美洲狮
coverall,316,连体工作服
cowbell,317,牛铃
cowboy_hat,318,牛仔帽
crab_(animal),319,螃蟹
crabmeat,320,蟹肉
cracker,321,饼干
crape,322,绉纱
crate,323,板条箱
crayon,324,蜡笔
cream_pitcher,325,奶油壶
crescent_roll,326,新月卷
crib,327,婴儿床
crock_pot,328,慢炖锅
crossbar,329,横杆
crouton,330,面包丁
crow,331,乌鸦
crowbar,332,撬棍
crown,333,皇冠
crucifix,334,十字架
cruise_ship,335,游轮
police_cruiser,336,警车
crumb,337,面包屑
crutch,338,拐杖
cub_(animal),339,幼兽
cube,340,立方体
cucumber,341,黄瓜
cufflink,342,袖扣
cup,343,杯子
trophy_cup,344,奖杯
cupboard,345,碗柜
cupcake,346,纸杯蛋糕
hair_curler,347,卷发器
curling_iron,348,卷发棒
curtain,349,窗帘
cushion,350,垫子
cylinder,351,圆柱体
cymbal,352,钹
dagger,353,匕首
dalmatian,354,斑点狗
dartboard,355,飞镖靶
date_(fruit),356,枣
deck_chair,357,躺椅
deer,358,鹿
dental_floss,359,牙线
desk,360,书桌
detergent,361,洗涤剂
diaper,362,尿布
diary,363,日记
die,364,骰子
dinghy,365,小艇
dining_table,366,餐桌
tux,367,晚礼服
dish,368,盘子
dish_antenna,369,卫星天线
dishrag,370,洗碗布
dishtowel,371,擦碗巾
dishwasher,372,洗碗机
dishwasher_detergent,373,洗碗机洗涤剂
dispenser,374,分配器
diving_board,375,跳水板
Dixie_cup,376,迪克西杯
dog,377,狗
dog_collar,378,狗项圈
doll,379,玩偶
dollar,380,美元
dollhouse,381,玩具房子
dolphin,382,海豚
domestic_ass,383,家驴
doorknob,384,门把手
doormat,385,门垫
doughnut,386,甜甜圈
dove,387,鸽子
dragonfly,388,蜻蜓
drawer,389,抽屉
underdrawers,390,内裤
dress,391,连衣裙
dress_hat,392,礼帽
dress_suit,393,西装
dresser,394,梳妆台
drill,395,钻机
drone,396,无人机
dropper,397,滴管
drum_(musical_instrument),398,鼓
drumstick,399,鼓槌
duck,400,鸭子
duckling,401,小鸭
duct_tape,402,管道胶带
duffel_bag,403,行李袋
dumbbell,404,哑铃
dumpster,405,垃圾箱
dustpan,406,簸箕
eagle,407,鹰
earphone,408,耳机
earplug,409,耳塞
earring,410,耳环
easel,411,画架
eclair,412,闪电泡芙
eel,413,鳗鱼
egg,414,鸡蛋
egg_roll,415,蛋卷
egg_yolk,416,蛋黄
eggbeater,417,打蛋器
eggplant,418,茄子
electric_chair,419,电椅
refrigerator,420,冰箱
elephant,421,大象
elk,422,麋鹿
envelope,423,信封
eraser,424,橡皮擦
escargot,425,蜗牛
eyepatch,426,眼罩
falcon,427,猎鹰
fan,428,风扇
faucet,429,水龙头
fedora,430,软呢帽
ferret,431,雪貂
Ferris_wheel,432,摩天轮
ferry,433,渡船
fig_(fruit),434,无花果
fighter_jet,435,战斗机
figurine,436,小雕像
file_cabinet,437,文件柜
file_(tool),438,锉刀
fire_alarm,439,火警
fire_engine,440,消防车
fire_extinguisher,441,灭火器
fire_hose,442,消防水带
fireplace,443,壁炉
fireplug,444,消防栓
first-aid_kit,445,急救箱
fish,446,鱼
fish_(food),447,鱼肉
fishbowl,448,鱼缸
fishing_rod,449,钓鱼竿
flag,450,旗帜
flagpole,451,旗杆
flamingo,452,火烈鸟
flannel,453,法兰绒
flap,454,翻盖
flash,455,闪光灯
flashlight,456,手电筒
fleece,457,羊毛
flip-flop_(sandal),458,人字拖
flipper_(footwear),459,脚蹼
flower_arrangement,460,插花
flute_glass,461,长笛杯
foal,462,小马驹
folding_chair,463,折叠椅
food_processor,464,食品加工机
football_(American),465,美式足球
football_helmet,466,足球头盔
footstool,467,脚凳
fork,468,叉子
forklift,469,叉车
freight_car,470,货车
French_toast,471,法式吐司
freshener,472,清新剂
frisbee,473,飞盘
frog,474,青蛙
fruit_juice,475,果汁
frying_pan,476,煎锅
fudge,477,软糖
funnel,478,漏斗
futon,479,蒲团
gag,480,塞口物
garbage,481,垃圾
garbage_truck,482,垃圾车
garden_hose,483,花园水管
gargle,484,漱口
gargoyle,485,怪兽雕像
garlic,486,大蒜
gasmask,487,防毒面具
gazelle,488,羚羊
gelatin,489,明胶
gemstone,490,宝石
generator,491,发电机
giant_panda,492,大熊猫
gift_wrap,493,礼品包装
ginger,494,姜
giraffe,495,长颈鹿
cincture,496,腰带
glass_(drink_container),497,玻璃杯
globe,498,地球仪
glove,499,手套
goat,500,山羊
goggles,501,护目镜
goldfish,502,金鱼
golf_club,503,高尔夫球杆
golfcart,504,高尔夫球车
gondola_(boat),505,贡多拉船
goose,506,鹅
gorilla,507,大猩猩
gourd,508,葫芦
grape,509,葡萄
grater,510,刨丝器
gravestone,511,墓碑
gravy_boat,512,肉汁船
green_bean,513,青豆
green_onion,514,青葱
griddle,515,煎锅
grill,516,烤架
grits,517,玉米糊
grizzly,518,灰熊
grocery_bag,519,购物袋
guitar,520,吉他
gull,521,海鸥
gun,522,枪
hairbrush,523,发刷
hairnet,524,发网
hairpin,525,发夹
halter_top,526,露背上衣
ham,527,火腿
hamburger,528,汉堡包
hammer,529,锤子
hammock,530,吊床
hamper,531,洗衣篮
hamster,532,仓鼠
hair_dryer,533,吹风机
hand_glass,534,放大镜
hand_towel,535,手巾
handcart,536,手推车
handcuff,537,手铐
handkerchief,538,手帕
handle,539,把手
handsaw,540,手锯
hardback_book,541,精装书
harmonium,542,脚踏风琴
hat,543,帽子
hatbox,544,帽盒
veil,545,面纱
headband,546,头带
headboard,547,床头板
headlight,548,前灯
headscarf,549,头巾
headset,550,耳机
headstall_(for_horses),551,马笼头
heart,552,心脏
heater,553,加热器
helicopter,554,直升机
helmet,555,头盔
heron,556,苍鹭
highchair,557,高脚椅
hinge,558,铰链
hippopotamus,559,河马
hockey_stick,560,曲棍球棒
hog,561,猪
home_plate_(baseball),562,本垒板
honey,563,蜂蜜
fume_hood,564,通风罩
hook,565,钩子
hookah,566,水烟
hornet,567,大黄蜂
horse,568,马
hose,569,软管
hot-air_balloon,570,热气球
hotplate,571,电热板
hot_sauce,572,辣酱
hourglass,573,沙漏
houseboat,574,船屋
hummingbird,575,蜂鸟
hummus,576,鹰嘴豆泥
polar_bear,577,北极熊
icecream,578,冰淇淋
popsicle,579,冰棒
ice_maker,580,制冰机
ice_pack,581,冰袋
ice_skate,582,冰鞋
igniter,583,点火器
inhaler,584,吸入器
iPod,585,iPod
iron_(for_clothing),586,熨斗
ironing_board,587,熨衣板
jacket,588,夹克
jam,589,果酱
jar,590,罐子
jean,591,牛仔裤
jeep,592,吉普车
jelly_bean,593,软糖豆
jersey,594,运动衫
jet_plane,595,喷气式飞机
jewel,596,宝石
jewelry,597,珠宝
joystick,598,操纵杆
jumpsuit,599,连身衣
kayak,600,皮划艇
keg,601,桶
kennel,602,狗舍
kettle,603,水壶
key,604,钥匙
keycard,605,钥匙卡
kilt,606,苏格兰短裙
kimono,607,和服
kitchen_sink,608,厨房水槽
kitchen_table,609,厨房桌
kite,610,风筝
kitten,611,小猫
kiwi_fruit,612,猕猴桃
knee_pad,613,护膝
knife,614,刀
knitting_needle,615,编织针
knob,616,旋钮
knocker_(on_a_door),617,门环
koala,618,考拉
lab_coat,619,实验室外套
ladder,620,梯子
ladle,621,长柄勺
ladybug,622,瓢虫
lamb_(animal),623,小羊
lamb-chop,624,羊排
lamp,625,灯
lamppost,626,灯柱
lampshade,627,灯罩
lantern,628,灯笼
lanyard,629,挂绳
laptop_computer,630,笔记本电脑
lasagna,631,千层面
latch,632,门闩
lawn_mower,633,割草机
leather,634,皮革
legging_(clothing),635,紧身裤
Lego,636,乐高
legume,637,豆类
lemon,638,柠檬
lemonade,639,柠檬水
lettuce,640,生菜
license_plate,641,车牌
life_buoy,642,救生圈
life_jacket,643,救生衣
lightbulb,644,灯泡
lightning_rod,645,避雷针
lime,646,酸橙
limousine,647,豪华轿车
lion,648,狮子
lip_balm,649,润唇膏
liquor,650,烈酒
lizard,651,蜥蜴
log,652,原木
lollipop,653,棒棒糖
speaker_(stereo_equipment),654,音箱
loveseat,655,双人沙发
machine_gun,656,机枪
magazine,657,杂志
magnet,658,磁铁
mail_slot,659,信箱投递口
mailbox_(at_home),660,家庭信箱
mallard,661,绿头鸭
mallet,662,木槌
mammoth,663,猛犸象
manatee,664,海牛
mandarin_orange,665,橘子
manger,666,马槽
manhole,667,井盖
map,668,地图
marker,669,记号笔
martini,670,马提尼酒
mascot,671,吉祥物
mashed_potato,672,土豆泥
masher,673,捣碎器
mask,674,面具
mast,675,桅杆
mat_(gym_equipment),676,垫子
matchbox,677,火柴盒
mattress,678,床垫
measuring_cup,679,量杯
measuring_stick,680,量尺
meatball,681,肉丸
medicine,682,药
melon,683,瓜
microphone,684,麦克风
microscope,685,显微镜
microwave_oven,686,微波炉
milestone,687,里程碑
milk,688,牛奶
milk_can,689,奶罐
milkshake,690,奶昔
minivan,691,小型货车
mint_candy,692,薄荷糖
mirror,693,镜子
mitten,694,连指手套
mixer_(kitchen_tool),695,搅拌器
money,696,钱
monitor_(computer_equipment),697,电脑显示器
monkey,698,猴子
motor,699,马达
motor_scooter,700,摩托车
motor_scooter,700,摩托车
motor_vehicle,701,机动车
motorcycle,702,摩托车
mound_(baseball),703,投手丘
mouse_(computer_equipment),704,鼠标
mousepad,705,鼠标垫
muffin,706,松饼
mug,707,杯子
mushroom,708,蘑菇
music_stool,709,音乐凳
musical_instrument,710,乐器
nailfile,711,指甲锉
napkin,712,餐巾
neckerchief,713,领巾
necklace,714,项链
necktie,715,领带
needle,716,针
nest,717,巢
newspaper,718,报纸
newsstand,719,报摊
nightshirt,720,睡衣
nosebag_(for_animals),721,鼻袋
noseband_(for_animals),722,鼻带
notebook,723,笔记本
notepad,724,记事本
nut,725,坚果
nutcracker,726,坚果钳
oar,727,桨
octopus_(food),728,章鱼（食物）
octopus_(animal),729,章鱼（动物）
oil_lamp,730,油灯
olive_oil,731,橄榄油
omelet,732,煎蛋卷
onion,733,洋葱
orange_(fruit),734,橙子
orange_juice,735,橙汁
ostrich,736,鸵鸟
ottoman,737,脚凳
oven,738,烤箱
overalls_(clothing),739,工装裤
owl,740,猫头鹰
packet,741,小包
inkpad,742,印台
pad,743,垫子
paddle,744,桨
padlock,745,挂锁
paintbrush,746,画笔
painting,747,画
pajamas,748,睡衣
palette,749,调色板
pan_(for_cooking),750,平底锅
pan_(metal_container),751,金属容器
pancake,752,煎饼
pantyhose,753,连裤袜
papaya,754,木瓜
paper_plate,755,纸盘
paper_towel,756,纸巾
paperback_book,757,平装书
paperweight,758,镇纸
parachute,759,降落伞
parakeet,760,长尾小鹦鹉
parasail_(sports),761,帆伞运动
parasol,762,遮阳伞
parchment,763,羊皮纸
parka,764,派克大衣
parking_meter,765,停车计时器
parrot,766,鹦鹉
passenger_car_(part_of_a_train),767,客车车厢
passenger_ship,768,客船
passport,769,护照
pastry,770,糕点
patty_(food),771,肉饼
pea_(food),772,豌豆
peach,773,桃子
peanut_butter,774,花生酱
pear,775,梨
peeler_(tool_for_fruit_and_vegetables),776,削皮器
wooden_leg,777,木腿
pegboard,778,挂钩板
pelican,779,鹈鹕
pen,780,钢笔
pencil,781,铅笔
pencil_box,782,铅笔盒
pencil_sharpener,783,卷笔刀
pendulum,784,钟摆
penguin,785,企鹅
pennant,786,三角旗
penny_(coin),787,便士
pepper,788,胡椒
pepper_mill,789,胡椒研磨器
perfume,790,香水
persimmon,791,柿子
person,792,人
pet,793,宠物
pew_(church_bench),794,教堂长椅
phonebook,795,电话簿
phonograph_record,796,留声机唱片
piano,797,钢琴
pickle,798,泡菜
pickup_truck,799,皮卡
pie,800,馅饼
pigeon,801,鸽子
piggy_bank,802,储蓄罐
pillow,803,枕头
pin_(non_jewelry),804,别针
pineapple,805,菠萝
pinecone,806,松果
ping-pong_ball,807,乒乓球
pinwheel,808,风车
tobacco_pipe,809,烟斗
pipe,810,管子
pistol,811,手枪
pita_(bread),812,皮塔饼
pitcher_(vessel_for_liquid),813,水罐
pitchfork,814,干草叉
pizza,815,披萨
place_mat,816,餐垫
plate,817,盘子
platter,818,大浅盘
playpen,819,游戏围栏
pliers,820,钳子
plow_(farm_equipment),821,犁
plume,822,羽毛
pocket_watch,823,怀表
pocketknife,824,小刀
poker_(fire_stirring_tool),825,火钳
pole,826,杆
polo_shirt,827,马球衫
poncho,828,斗篷
pony,829,小马
pool_table,830,台球桌
pop_(soda),831,汽水
postbox_(public),832,邮筒
postcard,833,明信片
poster,834,海报
pot,835,锅
flowerpot,836,花盆
potato,837,土豆
potholder,838,隔热垫
pottery,839,陶器
pouch,840,小袋
power_shovel,841,电铲
prawn,842,对虾
pretzel,843,椒盐卷饼
printer,844,打印机
projectile_(weapon),845,抛射物
projector,846,投影仪
propeller,847,螺旋桨
prune,848,西梅
pudding,849,布丁
puffer_(fish),850,河豚
puffin,851,海鹦
pug-dog,852,哈巴狗
pumpkin,853,南瓜
puncher,854,打孔器
puppet,855,木偶
puppy,856,小狗
quesadilla,857,墨西哥玉米饼
quiche,858,乳蛋饼
quilt,859,被子
rabbit,860,兔子
race_car,861,赛车
racket,862,球拍
radar,863,雷达
radiator,864,散热器
radio_receiver,865,收音机
radish,866,萝卜
raft,867,筏
rag_doll,868,布娃娃
raincoat,869,雨衣
ram_(animal),870,公羊
raspberry,871,覆盆子
rat,872,老鼠
razorblade,873,剃刀片
reamer_(juicer),874,榨汁器
rearview_mirror,875,后视镜
receipt,876,收据
recliner,877,躺椅
record_player,878,唱片机
reflector,879,反光板
remote_control,880,遥控器
rhinoceros,881,犀牛
rib_(food),882,肋排
rifle,883,步枪
ring,884,戒指
river_boat,885,河船
road_map,886,路线图
robe,887,长袍
rocking_chair,888,摇椅
rodent,889,啮齿动物
roller_skate,890,四轮滑冰鞋
Rollerblade,891,直排轮滑鞋
rolling_pin,892,擀面杖
root_beer,893,沙士
router_(computer_equipment),894,路由器
rubber_band,895,橡皮筋
runner_(carpet),896,地毯跑道
plastic_bag,897,塑料袋
saddle_(on_an_animal),898,鞍
saddle_blanket,899,鞍毯
saddlebag,900,鞍包
safety_pin,901,安全别针
sail,902,帆
salad,903,沙拉
salad_plate,904,沙拉盘
salami,905,萨拉米香肠
salmon_(fish),906,鲑鱼
salmon_(food),907,鲑鱼（食物）
salsa,908,萨尔萨酱
saltshaker,909,盐罐
sandal_(type_of_shoe),910,凉鞋
sandwich,911,三明治
satchel,912,书包
saucepan,913,炖锅
saucer,914,茶碟
sausage,915,香肠
sawhorse,916,锯马
saxophone,917,萨克斯管
scale_(measuring_instrument),918,秤
scarecrow,919,稻草人
scarf,920,围巾
school_bus,921,校车
scissors,922,剪刀
scoreboard,923,记分牌
scraper,924,刮刀
screwdriver,925,螺丝刀
scrubbing_brush,926,刷子
sculpture,927,雕塑
seabird,928,海鸟
seahorse,929,海马
seaplane,930,水上飞机
seashell,931,贝壳
sewing_machine,932,缝纫机
shaker,933,摇杯
shampoo,934,洗发水
shark,935,鲨鱼
sharpener,936,削笔器
Sharpie,937,记号笔
shaver_(electric),938,电动剃须刀
shaving_cream,939,剃须膏
shawl,940,披肩
shears,941,大剪刀
sheep,942,绵羊
shepherd_dog,943,牧羊犬
sherbert,944,雪葩
shield,945,盾
shirt,946,衬衫
shoe,947,鞋
shopping_bag,948,购物袋
shopping_cart,949,购物车
short_pants,950,短裤
shot_glass,951,小酒杯
shoulder_bag,952,单肩包
shovel,953,铲子
shower_head,954,淋浴喷头
shower_cap,955,浴帽
shower_curtain,956,浴帘
shredder_(for_paper),957,碎纸机
signboard,958,招牌
silo,959,筒仓
sink,960,水槽
skateboard,961,滑板
skewer,962,串
ski,963,滑雪板
ski_boot,964,滑雪靴
ski_parka,965,滑雪大衣
ski_pole,966,滑雪杖
skirt,967,裙子
skullcap,968,无檐便帽
sled,969,雪橇
sleeping_bag,970,睡袋
sling_(bandage),971,悬带
slipper_(footwear),972,拖鞋
smoothie,973,冰沙
snake,974,蛇
snowboard,975,单板滑雪
snowman,976,雪人
snowmobile,977,雪地摩托
soap,978,肥皂
soccer_ball,979,足球
sock,980,袜子
sofa,981,沙发
softball,982,垒球
solar_array,983,太阳能电池阵列
sombrero,984,墨西哥宽边帽
soup,985,汤
soup_bowl,986,汤碗
soupspoon,987,汤匙
sour_cream,988,酸奶油
soya_milk,989,豆奶
space_shuttle,990,航天飞机
sparkler_(fireworks),991,烟花棒
spatula,992,刮刀
spear,993,矛
spectacles,994,眼镜
spice_rack,995,香料架
spider,996,蜘蛛
crawfish,997,小龙虾
sponge,998,海绵
spoon,999,勺子
sportswear,1000,运动服
spotlight,1001,聚光灯
squid_(food),1002,鱿鱼（食物）
squirrel,1003,松鼠
stagecoach,1004,驿马车
stapler_(stapling_machine),1005,订书机
starfish,1006,海星
statue_(sculpture),1007,雕像
steak_(food),1008,牛排
steak_knife,1009,牛排刀
steering_wheel,1010,方向盘
stepladder,1011,梯子
step_stool,1012,脚凳
stereo_(sound_system),1013,立体声音响
stew,1014,炖菜
stirrer,1015,搅拌器
stirrup,1016,马镫
stool,1017,凳子
stop_sign,1018,停车标志
brake_light,1019,刹车灯
stove,1020,炉子
strainer,1021,滤器
strap,1022,带子
straw_(for_drinking),1023,吸管
strawberry,1024,草莓
street_sign,1025,街道标志
streetlight,1026,路灯
string_cheese,1027,奶酪条
stylus,1028,触控笔
subwoofer,1029,低音炮
sugar_bowl,1030,糖罐
sugarcane_(plant),1031,甘蔗
suit_(clothing),1032,西装
sunflower,1033,向日葵
sunglasses,1034,太阳镜
sunhat,1035,遮阳帽
surfboard,1036,冲浪板
sushi,1037,寿司
mop,1038,拖把
sweat_pants,1039,运动裤
sweatband,1040,汗带
sweater,1041,毛衣
sweatshirt,1042,运动衫
sweet_potato,1043,红薯
swimsuit,1044,泳衣
sword,1045,剑
syringe,1046,注射器
Tabasco_sauce,1047,塔巴斯科辣椒酱
table-tennis_table,1048,乒乓球桌
table,1049,桌子
table_lamp,1050,台灯
tablecloth,1051,桌布
tachometer,1052,转速表
taco,1053,玉米卷
tag,1054,标签
taillight,1055,尾灯
tambourine,1056,铃鼓
army_tank,1057,坦克
tank_(storage_vessel),1058,储罐
tank_top_(clothing),1059,背心
tape_(sticky_cloth_or_paper),1060,胶带
tape_measure,1061,卷尺
tapestry,1062,挂毯
tarp,1063,防水布
tartan,1064,格子呢
tassel,1065,流苏
tea_bag,1066,茶包
teacup,1067,茶杯
teakettle,1068,茶壶
teapot,1069,茶壶
teddy_bear,1070,泰迪熊
telephone,1071,电话
telephone_booth,1072,电话亭
telephone_pole,1073,电线杆
telephoto_lens,1074,长焦镜头
television_camera,1075,电视摄像机
television_set,1076,电视机
tennis_ball,1077,网球
tennis_racket,1078,网球拍
tequila,1079,龙舌兰酒
thermometer,1080,温度计
thermos_bottle,1081,保温瓶
thermostat,1082,恒温器
thimble,1083,顶针
thread,1084,线
thumbtack,1085,图钉
tiara,1086,头饰
tiger,1087,老虎
tights_(clothing),1088,紧身裤
timer,1089,计时器
tinfoil,1090,锡箔纸
tinsel,1091,金属箔
tissue_paper,1092,纸巾
toast_(food),1093,吐司
toaster,1094,烤面包机
toaster_oven,1095,小烤箱
toilet,1096,马桶
toilet_tissue,1097,卫生纸
tomato,1098,番茄
tongs,1099,钳子
toolbox,1100,工具箱
toothbrush,1101,牙刷
toothpaste,1102,牙膏
toothpick,1103,牙签
top_hat,1104,高顶礼帽
tortilla,1105,玉米饼
tow_truck,1106,拖车
towel,1107,毛巾
towel_rack,1108,毛巾架
toy,1109,玩具
tractor_(farm_equipment),1110,拖拉机
traffic_light,1111,红绿灯
dirt_bike,1112,越野摩托车
trailer_truck,1113,拖车卡车
train_(railroad_vehicle),1114,火车
trampoline,1115,蹦床
tray,1116,托盘
trench_coat,1117,风衣
triangle_(musical_instrument),1118,三角铁
tricycle,1119,三轮车
tripod,1120,三脚架
trousers,1121,长裤
truck,1122,卡车
truffle_(chocolate),1123,松露巧克力
trunk,1124,树干
vat,1125,大桶
turban,1126,头巾
turkey_(food),1127,火鸡（食物）
